code,name,color,remark,sort
SH000001,上证指数,#E6353A,,1
SZ399006,创业板指,#E6353A,,2
SZ399001,深证成指,#E6353A,,3
SZ301093,华兰股份,#F68F26,,4
SZ301448,开创电气,#F68F26,,5
SZ000988,华工科技,#000000,等待一个回落,6
SZ301358,湖南裕能,#000000,持续观察，从8月11号到9月5日构成的形态,7
SZ300450,先导智能,#000000,,8
SH603090,宏盛股份,#B833A0,,9
SZ300415,伊之密,#B833A0,,10
SZ002548,金新农,#B833A0,出现尚太科技类似形态,11
SH600580,卧龙电驱,,,12
SZ002545,东方铁塔,,化肥+特高压+智能电网,13
SZ300316,晶盛机电,#000000,,14
SZ001301,尚太科技,#F68F26,,15
SZ002460,赣锋锂业,,上升通道打开，均线扇形放射，等待一个下跌,16
SZ002517,恺英网络,#000000,游戏+AI布局。有盗墓笔记、奥特曼、斗罗大陆的IP,17
SZ002588,史丹利,,,18
SZ002723,小崧股份,,,19
SZ301057,汇隆新材,,,20
